ParticipantID,BandwidthRank_withinSD,n_conditions
P00,0.9701088140570167,9
P01,0.8124038404635959,9
P02,0.854400374531753,9
P03,0.8608781046763305,9
P04,0.7071067811865476,9
P05,0.6782329983125269,9
P06,1.0295630140987,9
P07,0.8666666666666666,9
P08,1.0821788720498617,9
P09,1.1666666666666667,9
P10,0.33829638550307406,9
P11,1.004987562112089,9
P12,0.8717797887081347,9
P13,0.3333333333333334,9
P14,0.7965202096899016,9
P15,0.42426406871192845,9
P16,0.6633249580710798,9
P17,0.8666666666666667,9
P18,0.7264831572567789,9
P19,0.8685876147196923,9
P20,0.6666666666666666,9
